,name,zipcode,county_string,rating,review_count,category,price,region
0,Cabo Fish Taco,28205,"Mecklenburg County, North Carolina",4.0,989,Mexican,$$,region
1,Midwood Smokehouse,28205,"Mecklenburg County, North Carolina",4.5,1281,American (Traditional),$$,region
2,Sabor Latin Street Grill,28204,"Mecklenburg County, North Carolina",4.5,684,Mexican,$,region
3,Benny Pennello's,28205,"Mecklenburg County, North Carolina",4.0,234,Italian,$,region
4,JackBeagles,28205,"Mecklenburg County, North Carolina",4.0,292,American (Traditional),$,region
5,The Cellar At Duckworth's,28202,"Mecklenburg County, North Carolina",4.5,361,American (New),$$,region
6,Pinky's Westside Grill,28208,"Mecklenburg County, North Carolina",4.0,856,American (Traditional),$,region
7,The Fig Tree Restaurant,28204,"Mecklenburg County, North Carolina",4.5,343,American (New),$$$,region
8,The Fig Tree Restaurant,28204,"Mecklenburg County, North Carolina",4.5,343,Italian,$$$,region
9,VBGB Beer Hall and Garden,28206,"Mecklenburg County, North Carolina",4.5,326,American (New),$$,region
10,Dandelion Market,28202,"Mecklenburg County, North Carolina",4.0,553,American (New),$$,region
11,Growlers Pourhouse,28205,"Mecklenburg County, North Carolina",4.0,202,American (Traditional),$$,region
12,Alexander Michael's,28202,"Mecklenburg County, North Carolina",4.5,331,American (Traditional),$$,region
13,Sabor Latin Street Grill - Noda,28205,"Mecklenburg County, North Carolina",4.5,158,Mexican,$,region
14,Tupelo Honey,28203,"Mecklenburg County, North Carolina",4.0,1182,American (New),$$,region
15,The King's Kitchen,28202,"Mecklenburg County, North Carolina",4.0,484,American (Traditional),$$,region
16,Davidson Street Public House,28205,"Mecklenburg County, North Carolina",4.0,136,American (New),$$,region
17,Three Amigos Mexican Restaurant and Cantina,28205,"Mecklenburg County, North Carolina",4.0,375,Mexican,$,region
18,300 East,28203,"Mecklenburg County, North Carolina",4.0,583,American (New),$$,region
19,Rooster's Uptown,28202,"Mecklenburg County, North Carolina",4.0,402,American (New),$$,region
20,Las Lupitas,28213,"Mecklenburg County, North Carolina",4.5,49,Mexican,$,region
21,5Church,28202,"Mecklenburg County, North Carolina",3.5,575,American (New),$$,region
22,Good Food on Montford,28209,"Mecklenburg County, North Carolina",4.5,583,American (New),$$,region
23,Mimosa Grill,28202,"Mecklenburg County, North Carolina",4.0,427,American (New),$$,region
24,The Asbury,28202,"Mecklenburg County, North Carolina",4.0,205,American (New),$$,region
25,Midnight Diner,28202,"Mecklenburg County, North Carolina",4.0,613,American (Traditional),$,region
26,Mama Ricotta's,28204,"Mecklenburg County, North Carolina",4.0,415,Italian,$$,region
27,Papi Queso,28202,"Mecklenburg County, North Carolina",4.5,127,American (New),$,region
28,Lebowski's Neighborhood Grill,28203,"Mecklenburg County, North Carolina",4.5,336,American (Traditional),$$,region
29,Carpe Diem Restaurant & Caterers,28204,"Mecklenburg County, North Carolina",4.5,175,American (New),$$$,region
30,JJ's Red Hots - Dilworth,28203,"Mecklenburg County, North Carolina",4.0,349,American (Traditional),$,region
31,Vivace,28204,"Mecklenburg County, North Carolina",3.5,401,Italian,$$,region
32,Luce Restaurant & Bar,28202,"Mecklenburg County, North Carolina",4.0,170,Italian,$$$,region
33,Pizzeria Omaggio,28204,"Mecklenburg County, North Carolina",4.5,170,Italian,$$,region
34,Luciano's Ristorante Italiano,28203,"Mecklenburg County, North Carolina",4.0,275,Italian,$$,region
35,Aria,28202,"Mecklenburg County, North Carolina",3.5,322,Italian,$$,region
36,Aria,28202,"Mecklenburg County, North Carolina",3.5,322,American (New),$$,region
37,Diamond Restaurant,28205,"Mecklenburg County, North Carolina",3.5,328,American (New),$,region
38,Vapiano,28202,"Mecklenburg County, North Carolina",3.5,390,Italian,$$,region
39,Sandwich Max,28204,"Mecklenburg County, North Carolina",4.5,113,American (Traditional),$,region
40,Solstice Tavern,28205,"Mecklenburg County, North Carolina",3.5,129,American (Traditional),$,region
41,Kid Cashew,28203,"Mecklenburg County, North Carolina",4.0,309,American (New),$$,region
42,Lupie's Cafe,28205,"Mecklenburg County, North Carolina",4.0,201,American (Traditional),$,region
43,Fahrenheit,28202,"Mecklenburg County, North Carolina",3.0,569,American (New),$$$,region
44,Letty's,28205,"Mecklenburg County, North Carolina",4.0,73,American (New),$$,region
45,Pint Central,28204,"Mecklenburg County, North Carolina",4.0,175,American (New),$$,region
46,Vida Mexican Kitchen y Cantina,28202,"Mecklenburg County, North Carolina",3.5,364,Mexican,$$,region
47,Portofino's Italian Restaurant & Pizzeria,28205,"Mecklenburg County, North Carolina",4.0,143,Italian,$$,region
48,Stoke Charlotte,28202,"Mecklenburg County, North Carolina",4.0,133,American (New),$$,region
49,Thomas Street Tavern,28205,"Mecklenburg County, North Carolina",4.0,147,American (Traditional),$,region
50,Savor Cafe & Catering,28208,"Mecklenburg County, North Carolina",4.0,164,American (New),$$,region
51,The Dumpling Lady,28205,"Mecklenburg County, North Carolina",4.5,72,Chinese,$,region
52,Customshop Handcrafted Food,28204,"Mecklenburg County, North Carolina",4.0,183,American (New),$$$,region
53,Hawthorne's NY Pizza & Bar,28204,"Mecklenburg County, North Carolina",4.0,173,Italian,$$,region
54,Napa on Providence,28207,"Mecklenburg County, North Carolina",4.0,200,American (New),$$,region
55,Whiskey Warehouse,28203,"Mecklenburg County, North Carolina",3.5,267,American (New),$$,region
56,Rock Bottom Restaurant & Brewery,28202,"Mecklenburg County, North Carolina",3.0,310,American (Traditional),$$,region
57,Rock Bottom Restaurant & Brewery,28202,"Mecklenburg County, North Carolina",3.0,310,American (New),$$,region
58,The Peculiar Rabbit,28205,"Mecklenburg County, North Carolina",3.0,443,American (New),$$,region
59,Que Onda Tacos Uptown,28202,"Mecklenburg County, North Carolina",4.0,136,Mexican,$$,region
60,Flying Saucer Draught Emporium,28262,"Mecklenburg County, North Carolina",4.0,242,American (Traditional),$$,region
61,The Pizza Peel,28205,"Mecklenburg County, North Carolina",3.5,136,Italian,$$,region
62,Wooden Vine Wine Bar & Bistro,28202,"Mecklenburg County, North Carolina",3.5,136,American (New),$$,region
63,Eddie's Place,28211,"Mecklenburg County, North Carolina",4.0,271,American (Traditional),$$,region
64,Fenwick's,28207,"Mecklenburg County, North Carolina",4.0,109,American (Traditional),$$,region
65,204 North Kitchen & Cocktails,28202,"Mecklenburg County, North Carolina",3.5,176,American (New),$$,region
66,Duckworth's Grill & Taphouse,28202,"Mecklenburg County, North Carolina",3.5,248,American (Traditional),$$,region
67,DeSano Pizzeria Napoletana,28204,"Mecklenburg County, North Carolina",4.0,97,Italian,$$,region
68,Mortimer's Cafe and Pub,28202,"Mecklenburg County, North Carolina",3.5,164,American (Traditional),$$,region
69,Johnny Burrito,28282,"Mecklenburg County, North Carolina",4.5,88,Mexican,$,region
70,Stagioni Four Seasons of Food,28207,"Mecklenburg County, North Carolina",4.0,130,Italian,$$$,region
71,Bernardin's Restaurant,28202,"Mecklenburg County, North Carolina",4.0,114,American (New),$$$,region
72,Pike's Old Fashioned Soda Shop,28203,"Mecklenburg County, North Carolina",3.5,272,American (Traditional),$$,region
73,Draught,28202,"Mecklenburg County, North Carolina",3.5,208,American (New),$$,region
74,City Smoke,28202,"Mecklenburg County, North Carolina",3.5,194,American (Traditional),$$,region
75,Cantina 1511,28209,"Mecklenburg County, North Carolina",3.5,460,Mexican,$$,region
76,Mac's Speed Shop,28203,"Mecklenburg County, North Carolina",4.0,192,American (Traditional),$$,region
77,Morton's The Steakhouse,28202,"Mecklenburg County, North Carolina",4.0,116,American (Traditional),$$$$,region
78,Zio Casual Italian,28207,"Mecklenburg County, North Carolina",4.0,111,Italian,$$,region
79,Soho Bistro,28202,"Mecklenburg County, North Carolina",3.5,137,Chinese,$$,region
80,Duckworth's Kitchen & Taphouse,28209,"Mecklenburg County, North Carolina",4.0,291,American (Traditional),$$,region
81,Fran's Filling Station,28203,"Mecklenburg County, North Carolina",4.0,201,American (New),$$,region
82,Fran's Filling Station,28203,"Mecklenburg County, North Carolina",4.0,201,American (Traditional),$$,region
83,Fonda Las Cazuelas,28213,"Mecklenburg County, North Carolina",4.0,38,Mexican,$$,region
84,Brixx Wood Fired Pizza,28202,"Mecklenburg County, North Carolina",3.5,127,Italian,$$,region
85,Leroy Fox,28211,"Mecklenburg County, North Carolina",3.5,280,American (New),$$,region
86,RuRu's Tacos + Tequila,28207,"Mecklenburg County, North Carolina",3.5,275,Mexican,$$,region
87,Nothing But Noodles,28204,"Mecklenburg County, North Carolina",4.0,79,Italian,$,region
88,Ink N Ivy CLT,28202,"Mecklenburg County, North Carolina",3.0,299,American (New),$$,region
89,Ginbu 401,28207,"Mecklenburg County, North Carolina",3.5,172,Chinese,$$,region
90,McNinch House Restaurant,28202,"Mecklenburg County, North Carolina",4.0,61,American (New),$$$$,region
91,Foxcroft Wine Co - Dilworth,28203,"Mecklenburg County, North Carolina",4.0,69,American (New),$$,region
92,Persuasian Restaurant,28203,"Mecklenburg County, North Carolina",4.0,96,Chinese,$$,region
93,Boardwalk Billy's Raw Bar And Ribs,28262,"Mecklenburg County, North Carolina",3.5,244,American (Traditional),$$,region
94,Dilworth Neighborhood Grille,28204,"Mecklenburg County, North Carolina",3.5,180,American (Traditional),$$,region
95,Carolina Ale House,28244,"Mecklenburg County, North Carolina",3.0,321,American (Traditional),$$,region
